Trial	TargetImage	DistractorImage	AudioTarget	TrialType	Pair	TargetSide	block	TargetLoc	DistractorLoc	Carrier	practice	order
p1	cookie.jpg	apple.jpg	can_cookie_mono65db.wav	NA	NA	NA	0	(640,512)	(0,0)	can	y	4
p2	stroller.jpg	apple.jpg	where_stroller_mono65db.wav	NA	NA	NA	0	(640,512)	(0,0)	where	y	4
p3	apple.jpg	apple.jpg	do_apple_mono65db.wav	NA	NA	NA	0	(640,512)	(0,0)	do	y	4
p4	dog.jpg	apple.jpg	look_dog_mono65db.wav	NA	NA	NA	0	(640,512)	(0,0)	look	y	4
1	kitty.jpg	banana.jpg	can_kitty.wav	generic	banana_kitty	L	1	(320,512)	(960,512)	can	n	4
2	mouth.jpg	diaper.jpg	where_mouth.wav	unique	diaper_mouth	R	1	(960,512)	(320,512)	where	n	4
3	water.jpg	cheerios.jpg	look_water.wav	generic	cheerios_water	L	1	(320,512)	(960,512)	look	n	4
4	spoon3.jpg	basket2.jpg	do_spoon.wav	unique	spoon_basket	R	1	(960,512)	(320,512)	do	n	4
5	book5.jpg	bib2.jpg	can_book.wav	unique	bib_book	L	1	(320,512)	(960,512)	can	n	4
6	cheerios.jpg	water.jpg	look_cheerios.wav	generic	cheerios_water	L	1	(320,512)	(960,512)	look	n	4
7	cracker.jpg	bear.jpg	do_cracker.wav	generic	bear_cracker	R	1	(960,512)	(320,512)	do	n	4
8	basket2.jpg	spoon3.jpg	do_basket.wav	unique	spoon_basket	L	1	(320,512)	(960,512)	do	n	4
9	hand.jpg	peas3.jpg	look_hand.wav	unique	peas_hand	L	1	(320,512)	(960,512)	look	n	4
10	cup.jpg	hair.jpg	where_cup.wav	generic	hair_cup	R	1	(960,512)	(320,512)	where	n	4
11	diaper.jpg	mouth.jpg	where_diaper.wav	unique	diaper_mouth	R	1	(960,512)	(320,512)	where	n	4
12	peas3.jpg	hand.jpg	look_peas.wav	unique	peas_hand	L	1	(320,512)	(960,512)	look	n	4
13	banana.jpg	kitty.jpg	can_banana.wav	generic	banana_kitty	R	1	(960,512)	(320,512)	can	n	4
14	bear.jpg	cracker.jpg	do_bear.wav	generic	bear_cracker	L	1	(320,512)	(960,512)	do	n	4
15	bib2.jpg	book5.jpg	can_bib.wav	unique	bib_book	R	1	(960,512)	(320,512)	can	n	4
16	hair.jpg	cup.jpg	where_hair.wav	generic	hair_cup	R	1	(960,512)	(320,512)	where	n	4
17	banana.jpg	kitty.jpg	can_banana.wav	generic	banana_kitty	L	2	(320,512)	(960,512)	can	n	4
18	bear.jpg	cracker.jpg	do_bear.wav	generic	bear_cracker	R	2	(960,512)	(320,512)	do	n	4
19	diaper.jpg	mouth.jpg	where_diaper.wav	unique	diaper_mouth	L	2	(320,512)	(960,512)	where	n	4
20	hand.jpg	peas3.jpg	look_hand.wav	unique	peas_hand	R	2	(960,512)	(320,512)	look	n	4
21	cracker.jpg	bear.jpg	do_cracker.wav	generic	bear_cracker	L	2	(320,512)	(960,512)	do	n	4
22	mouth.jpg	diaper.jpg	where_mouth.wav	unique	diaper_mouth	L	2	(320,512)	(960,512)	where	n	4
23	basket2.jpg	spoon3.jpg	do_basket.wav	unique	spoon_basket	R	2	(960,512)	(320,512)	do	n	4
24	cheerios.jpg	water.jpg	look_cheerios.wav	generic	cheerios_water	R	2	(960,512)	(320,512)	look	n	4
25	hair.jpg	cup.jpg	where_hair.wav	generic	hair_cup	L	2	(320,512)	(960,512)	where	n	4
26	bib2.jpg	book5.jpg	can_bib.wav	unique	bib_book	L	2	(320,512)	(960,512)	can	n	4
27	water.jpg	cheerios.jpg	look_water.wav	generic	cheerios_water	R	2	(960,512)	(320,512)	look	n	4
28	peas3.jpg	hand.jpg	look_peas.wav	unique	peas_hand	R	2	(960,512)	(320,512)	look	n	4
29	spoon3.jpg	basket2.jpg	do_spoon.wav	unique	spoon_basket	L	2	(320,512)	(960,512)	do	n	4
30	kitty.jpg	banana.jpg	can_kitty.wav	generic	banana_kitty	R	2	(960,512)	(320,512)	can	n	4
31	cup.jpg	hair.jpg	where_cup.wav	generic	hair_cup	L	2	(320,512)	(960,512)	where	n	4
32	book5.jpg	bib2.jpg	can_book.wav	unique	bib_book	R	2	(960,512)	(320,512)	can	n	4
